id,Age
74051,7.6024413
74052,7.805167
74053,10.601778
74054,9.540007
74055,7.4173217
74056,12.90413
74057,11.828503
74058,8.005082
74059,12.447188
74060,10.322103
74061,13.058539
74062,10.296072
74063,4.284039
74064,12.811166
74065,5.4717464
74066,6.191868
74067,11.085499
74068,12.761417
74069,11.244914
74070,10.4557
74071,16.633991
74072,9.253694
74073,8.563247
74074,9.340974
74075,12.804554
74076,9.498081
74077,11.523524
74078,10.942773
74079,8.82988
74080,12.281818
74081,11.096536
74082,10.683877
74083,10.266213
74084,11.9473915
74085,11.4237585
74086,7.1482983
74087,8.803529
74088,11.749678
74089,8.776114
74090,10.369067
74091,8.496951
74092,9.711727
74093,10.207126
74094,9.861595
74095,17.971355
74096,12.32664
74097,6.540629
74098,6.128718
74099,12.556556
74100,10.01739
74101,10.019127
74102,9.285318
74103,11.553338
74104,10.029602
74105,8.927897
74106,11.519559
74107,9.922678
74108,5.0692215
74109,10.265091
74110,5.5739403
74111,10.837145
74112,6.8624253
74113,8.323326
74114,10.80767
74115,9.506467
74116,11.731255
74117,12.864325
74118,10.103372
74119,8.577514
74120,17.391327
74121,9.803511
74122,6.858513
74123,12.621224
74124,5.028854
74125,7.3783846
74126,7.358275
74127,11.5000105
74128,10.983066
74129,9.386241
74130,10.183643
74131,9.972162
74132,7.443443
74133,10.2851305
74134,11.794833
74135,4.5048885
74136,6.350172
74137,5.4717464
74138,17.864323
74139,11.066555
74140,14.939578
74141,9.402316
74142,10.891792
74143,13.879533
74144,14.271717
74145,11.368466
74146,7.8612323
74147,10.145023
74148,5.606338
74149,10.142413
74150,8.746267
74151,8.8835
74152,13.059954
74153,10.323673
74154,8.358391
74155,6.4936757
74156,12.662744
74157,11.20944
74158,12.165949
74159,10.260462
74160,11.9897
74161,10.257203
74162,9.787174
74163,9.99909
74164,9.711378
74165,10.467625
74166,9.308616
74167,11.262575
74168,13.077381
74169,11.698146
74170,10.464185
74171,12.16255
74172,11.400349
74173,7.831525
74174,12.0134735
74175,9.544375
74176,9.271055
74177,10.921564
74178,13.619587
74179,12.63432
74180,5.87291
74181,8.50246
74182,10.792704
74183,7.238434
74184,11.344117
